days,close_0,ret_0,volume_0,close_1,ret_1,volume_1,close_2,ret_2,volume_2,close_3,ret_3,volume_3,close_4,ret_4,volume_4,close_5,ret_5,volume_5,close_6,ret_6,volume_6,close_7,ret_7,volume_7
8122,30.757032432437377,-0.5584133980893561,558.0,-6.7317106875748784,0.33708134791543315,1907.0,41.99227870106693,-0.3307991911906214,819.0,-4.2304061481989645,-1.1326956184025598,1786.0,-6.998330537160534,0.6679712083179035,627.0,-2.284811398692319,-0.07616037995641109,25.0,49.649794495627695,-0.6320753021975392,1028.0,-2.24859827515594,-0.2810747843944897,4.0
8123,30.728527899011578,-0.02850453342580082,631.0,-6.483856866517918,0.2478538210569604,1670.0,41.98345267749239,-0.008826023574543606,894.0,-4.067696933987445,0.1627092142115193,1841.0,-6.761967498637609,0.23636303852292553,318.0,-1.9293962922290673,0.35541510646325175,10.0,49.45353389220406,-0.19626060342363957,982.0,-1.2121350077012594,1.0364632674546808,4.0
8124,31.78618744207191,1.0576595430603322,674.0,-5.844393554357059,0.6394633121608587,1669.0,43.092355486080955,1.1089028085885693,775.0,-3.285447523605236,0.7822494103822095,1564.0,-6.628372276926185,0.13359522171142363,416.0,-2.0055566721854783,-0.07616037995641109,17.0,50.56667757115357,1.113143678949516,847.0,-2.1256280569833508,-0.9134930492820915,2.0
8127,32.07035961700061,0.28417217492870095,510.0,-5.34372777687623,0.5006657774808287,1833.0,43.55792822963813,0.4655727435571752,740.0,-2.4719110014906374,0.8135365221145986,1092.0,-6.7516916970043015,-0.12331942007811639,352.0,-2.56406612519916,-0.5585094530136814,16.0,50.87098233907603,0.30430476792245703,830.0,-3.0742554543147533,-0.9486273973314027,2.0
8128,32.032355769060125,-0.03800384794049089,424.0,-6.17156241348785,-0.8278346366116199,3028.0,43.501528732313886,-0.05639949732424422,786.0,-3.2979661878753905,-0.8260551863847533,2610.0,-7.142201560505265,-0.39050986350096367,474.0,-2.3355849853299264,0.22848113986923327,16.0,50.84752463933267,-0.0234576997433598,951.0,-2.8107478439449194,0.2635076103698341,0.0
8129,33.27831459269122,1.2459588236310946,707.0,-5.140489610223093,1.0310728032647571,2086.0,44.18757537237989,0.6860466400660016,854.0,-1.821078919116059,1.4768872687593315,1793.0,-7.16275316377188,-0.020551603266614486,308.0,-2.4117453652863374,-0.07616037995641109,7.0,51.702294823516084,0.8547701841834174,994.0,-3.0391211062654424,-0.22837326232052288,1.0
8130,33.917921923583556,0.6396073308923366,502.0,-5.031433323846163,0.10905628637693039,1811.0,44.8083964915471,0.6208211191672137,854.0,-1.6583697049045396,0.1627092142115193,1667.0,-6.073439786813877,1.0893133769580035,460.0,-2.4117453652863374,0.0,5.0,52.53756801310538,0.8352731895892975,858.0,-3.5134348049311437,-0.47431369866570133,1.0
8131,33.94771807382856,0.029796150245002522,436.0,-5.358602182976954,-0.3271688591307912,1532.0,44.711400733445416,-0.09699575810168601,792.0,-1.8773985849172585,-0.2190288800127189,1318.0,-6.022055878408126,0.05138390840575095,293.0,-2.9194812316624112,-0.5077358663760739,4.0,52.69120465317141,0.15363664006603533,730.0,-4.795838508731003,-1.2824037037998592,1.0
8134,34.031501830151676,0.08378375632311447,528.0,-5.229717137081566,0.1288850458953881,1432.0,44.815636589010595,0.10423585556517881,792.0,-1.1827607265401365,0.694637858377122,1537.0,-6.3611818335033385,-0.3391259550952127,424.0,-2.9956416116188223,-0.07616037995641109,1047.0,52.77083015322874,0.0796255000573262,760.0,-5.428256773618605,-0.6324182648876018,1414.0
8135,33.125860973794175,-0.9056408563575034,520.0,-5.056220218731528,0.17349691835003753,1969.0,44.146358531819864,-0.6692780571907334,805.0,-1.0576027306675826,0.12515799587255397,2111.0,-7.1010934537328225,-0.7399116202294836,602.0,-1.6501415657222263,1.345500045896596,1509.0,52.153629678516324,-0.61720047471241,836.0,-4.514763724336514,0.9134930492820915,1592.0
8136,33.23555944002295,0.10969846622878127,382.0,-4.966992691873055,0.0892275268584727,1387.0,44.51202223996266,0.365663708142798,798.0,-0.5256740865019799,0.5319286441656027,1604.0,-6.772243300270917,0.32885015346190544,415.0,-1.9547830855478705,-0.30464151982564436,1358.0,52.5174095565515,0.36377987803517775,825.0,-4.462062202262547,0.05270152207396682,1198.0
8137,33.098223009815946,-0.13733643020700542,363.0,-4.966992691873055,0.0,1359.0,44.26188980134445,-0.2501324386182058,744.0,-0.5131554222318251,0.012518664270154745,1972.0,-6.392014138642475,0.38022916162844167,431.0,-2.3609717786487296,-0.40618869310085914,1166.0,52.44042183772391,-0.07698771882758801,883.0,-4.233688939942024,0.22837326232052288,1452.0
8138,32.57004069416581,-0.5281823156501326,544.0,-5.071090842883078,-0.10409815101002251,512.0,43.949626121576735,-0.31226367976771513,752.0,-1.0075376225299615,-0.4943822002981363,1584.0,-6.926390125248955,-0.5343759866064798,237.0,-1.6247547724034224,0.7362170062453072,1437.0,52.203852387801795,-0.23656944992211584,859.0,-2.7756134958956085,1.4580754440464152,2105.0
8141,33.14097816248421,0.5709374683184012,356.0,-4.595211960287615,0.4758788825954631,290.0,44.2963104313688,0.3466843097920705,758.0,-0.5632205303694464,0.4443170921605151,1003.0,-6.217310810158608,0.7090793150903472,293.0,-1.5993679790846187,0.025386793318803696,1431.0,52.865991942730936,0.6621395549291423,775.0,-3.548569152980455,-0.7729556570848466,2171.0
8142,32.71558152712743,-0.4253966353567727,379.0,-4.64974010347608,-0.054528143188465196,1748.0,44.19119542111163,-0.10511501025717436,732.0,-0.3441916503567275,0.2190288800127189,1516.0,-5.528783098334875,0.6885277118237326,310.0,-1.3962736325341891,0.20309434655042957,1314.0,52.582829757692714,-0.28316218503822527,859.0,-2.5472402335750854,1.0013289194053696,2586.0
8143,33.145729467211986,0.4301479400845504,369.0,-4.793495773523017,-0.1437556700469379,1698.0,44.72084302722072,0.5296476061090865,758.0,-0.2002556580789414,0.14393599227778608,1581.0,-6.731140093737688,-1.2023569954028126,454.0,-1.0154717327521336,0.3808018997820555,1291.0,52.87524434355819,0.29241458586547203,846.0,-1.8796876206381725,0.667552612936913,1943.0
8144,33.126295905988385,-0.019433561223601115,267.0,-5.353644047610045,-0.5601482740870279,1548.0,44.686159512705125,-0.03468351451558933,773.0,-0.8323145185197864,-0.632058860440845,1306.0,-6.217310810158608,0.5138292835790801,615.0,-1.4470472191717965,-0.43157548641966287,1871.0,52.69252757709091,-0.18271676646727744,834.0,-1.9323891427121394,-0.05270152207396682,2916.0
